Day fraction since midnight on,photometer (mg/L),(volts)
0.6316387687,5.094911575,1.702747822
0.6316503436,5.089278698,1.704593897
0.6316619133,5.088626862,1.704807639
0.6316734922,5.086412907,1.705533624
0.631685049,5.115274429,1.696083665
0.631696621,5.070813656,1.710653544
0.631708205,5.083247662,1.706571817
0.63171978,5.162630081,1.680642247
0.6317313643,5.033056259,1.723082304
0.631742935,5.0901227,1.704317212
0.6317545121,5.105884552,1.699154854
0.6317660854,5.093480587,1.703216791
0.6317776591,5.24944973,1.652538657
0.6317892274,5.184369564,1.67358017
0.6318007967,5.184146404,1.673652649
0.6318123657,5.182600975,1.674154043
0.631823936,5.207287312,1.666153431
0.6318355228,5.19212532,1.671064854
0.6318470967,5.186424255,1.672913551
0.6318586648,5.205728054,1.666658163
0.631870235,5.204820156,1.666952133
0.6318818079,5.21201086,1.664625049
0.63189339,5.183722973,1.673789978
0.6319049718,5.17454052,1.676771045
0.6319165341,5.211202622,1.664886475
0.6319281027,5.166994095,1.679223299
0.6319396698,5.158891201,1.68185854
0.6319512644,5.156085491,1.682771444
0.631962851,5.149716854,1.684844971
0.631974412,5.101525307,1.70058167
0.6319859821,5.104029179,1.699762106
0.6319975551,5.12212801,1.693843842
0.6320091349,5.132642746,1.690410972
0.6320206924,5.075059414,1.709259272
0.6320322871,5.070746899,1.710675597
0.6320438548,5.082192421,1.706918001
0.6320554333,5.071086884,1.710563898
0.6320670004,5.053347588,1.716396689
0.6320785689,5.048863888,1.717872739
0.63209014,5.091980934,1.703708172
0.6321017228,5.048692226,1.717929244
0.6321132892,5.050461769,1.717346549
0.6321248574,5.045336247,1.719034553
0.6321364364,5.097257137,1.701979518
0.6321480029,5.210434437,1.665135026
0.6321595947,5.19635725,1.669693112
0.632171163,5.19180584,1.671168447
0.6321827555,5.164731979,1.679958701
0.6321943161,5.211321831,1.66484797
0.6322058803,5.177463055,1.6758219
0.6322174648,5.160782337,1.6812433
0.6322290395,5.161702156,1.680944085
0.6322406095,5.176311016,1.676196098
0.6322521744,5.151444912,1.684282184
0.6322637436,5.141761303,1.687437177
0.6322753418,5.15977478,1.681571007
0.6322868901,5.140000343,1.688011289
0.632298466,5.130181789,1.691214204
0.6323100565,5.123297691,1.693461895
0.632321619,5.153222084,1.683703661
0.6323332002,5.139676094,1.688116908
0.632344764,5.147441864,1.685586095
0.6323563399,5.140111923,1.687974811
0.6323679299,5.172894001,1.677305937
0.632379503,5.137282372,1.688897491
0.6323910568,5.115062237,1.696153045
0.6324026437,5.137541771,1.688812971
0.6324142259,5.091042996,1.704015613
0.6324257984,5.070171833,1.710864425
0.6324373587,5.107362747,1.698671103
0.6324489561,5.09853363,1.701561332
0.6324605014,5.074878216,1.709318757
0.6324720894,5.074638844,1.709397316
0.6324836529,5.05891037,1.71456635
0.6324952389,5.031674862,1.723538041
0.6325068095,5.017483711,1.728223324
0.6325183827,5.062511921,1.713382006
0.6325299599,5.160148621,1.681449413
0.6325415345,5.019902706,1.727424145
0.6325531098,5.00635004,1.731904268
0.6325646608,5.022469521,1.726576448
0.6325762651,5.055518627,1.715682149
0.6325878454,5.108778,1.698208094
0.6325993956,5.017649651,1.728168488
0.6326109932,5.085937977,1.70568943
0.6326225526,5.14970398,1.684849262
0.6326341071,5.161020756,1.681165695
0.6326456958,5.168238163,1.678818822
0.632657276,5.271073818,1.645580053
0.6326688625,5.300759316,1.636054039
0.6326804244,5.327785015,1.627408147
0.6326919833,5.314018726,1.631808996
0.6327035561,5.255774498,1.650501609
0.6327151551,5.245466232,1.653822184
0.6327267057,5.238531113,1.656058431
0.6327382832,5.256068707,1.650406957
0.6327498555,5.25166893,1.651823759
0.6327614344,5.214873791,1.663699031
0.6327729978,5.264149189,1.647806525
0.6327845862,5.253693104,1.651171804
0.6327961417,5.267852306,1.646615624
0.6328077166,5.224944592,1.66044414
0.6328193086,5.268298626,1.646472096
0.6328308783,5.20323801,1.667464376
0.6328424449,5.253731251,1.651159525
0.6328540265,5.259577751,1.649277329
0.632865589,5.210740089,1.665036202
0.6328771677,5.193477154,1.670626521
0.6328887391,5.176705837,1.676067829
0.6329003266,5.195596695,1.669939637
0.6329118817,5.155796528,1.68286562
0.632923471,5.137534142,1.688815355
0.6329350349,5.173809528,1.67700851
0.6329466162,5.144585133,1.686516881
0.6329581839,5.153771877,1.683524609
0.6329697605,5.162470341,1.680694223
0.6329813336,5.149435997,1.684936404
0.6329929197,5.143447876,1.686887384
0.6330044891,5.163039684,1.68050909
0.6330160455,5.137994766,1.688665152
0.6330276282,5.171951294,1.677612186
0.6330392053,5.143531323,1.686860323
0.6330507792,5.149493694,1.684917688
0.633062347,5.105814457,1.699177742
0.6330739299,5.116464615,1.695694566
0.6330854966,5.109311104,1.698033691
0.633097082,5.08220005,1.706915498
0.6331086578,5.04048872,1.720631719
0.6331202305,5.10174799,1.700508833
0.6331318035,5.05525589,1.715768695
0.6331433654,5.051053047,1.71715188
0.6331549527,5.060700893,1.713977456
0.6331665199,5.058811188,1.714598894
0.6331780847,5.016261578,1.728627086
0.633189666,5.02230072,1.726632118
0.6332012321,5.111989498,1.697157621
0.633212803,5.078742981,1.708049893
0.6332243824,5.003092289,1.732982159
0.6332359572,5.061518669,1.71370852
0.6332475323,5.038309574,1.721349955
0.633259108,5.015670776,1.728822351
0.633270674,5.032924175,1.723125935
0.6332822654,5.054855347,1.715900421
0.6332938394,5.041728497,1.720223188
0.6333053969,5.003498554,1.732847691
0.6333169861,5.003014565,1.733007789
0.6333285629,4.980097771,1.740601182
0.6333401226,4.990478516,1.737159252
0.6333516994,4.987691879,1.738082767
0.6333632715,4.978883266,1.741004109
0.6333748435,4.985532761,1.738798499
0.6333864266,4.9632864,1.746183515
0.6333979985,4.950579643,1.750409722
