Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6967432625	4.4599227905	1.9181491137
0.6967548478	4.4813623428	1.9106310606
0.6967664135	4.4815053940	1.9105808735
0.6967779888	4.4876213074	1.9084395170
0.6967895693	4.4402666092	1.9250571728
0.6968011388	4.4349002838	1.9269458055
0.6968127134	4.4508733749	1.9213277102
0.6968242829	4.3647193909	1.9517462254
0.6968358570	4.3134078979	1.9699987173
0.6968474216	4.3116335869	1.9706317186
0.6968590040	4.2653193474	1.9871975183
0.6968705857	4.2604327202	1.9889502525
0.6968821413	4.3194675446	1.9678378105
0.6968937429	4.2993702888	1.9750100374
0.6969053028	4.2658481598	1.9870078564
0.6969168782	4.2292394638	2.0001606941
0.6969284585	4.1696376801	2.0216867924
0.6969400168	4.1606302261	2.0249521732
0.6969515965	4.1385474205	2.0329711437
0.6969631619	4.1157445908	2.0412716866
0.6969747471	4.1035552025	2.0457172394
0.6969863239	4.1121034622	2.0425989628
0.6969978832	4.1013031006	2.0465393066
0.6970094664	4.0496072769	2.0654635429
0.6970210516	4.1023068428	2.0461728573
0.6970326202	4.0590834618	2.0619866848
0.6970441892	4.0318326950	2.0719950199
0.6970557627	4.0571541786	2.0626943111
0.6970673276	4.0215802193	2.0757679939
0.6970789044	4.0160627365	2.0778002739
